iter	Passed	Remaining
0	1	101
1	1	92
2	2	86
3	3	79
4	7	140
5	8	128
6	9	120
7	9	113
8	10	108
9	11	103
10	12	100
11	13	97
12	14	93
13	14	89
14	15	85
15	15	82
16	16	80
17	17	77
18	17	74
19	18	73
20	19	71
21	19	70
22	20	68
23	21	66
24	21	65
25	22	63
26	22	61
27	23	60
28	24	59
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	42	36
54	43	35
55	43	34
56	44	33
57	45	33
58	46	32
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	54	23
70	54	22
71	55	21
72	56	20
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	77	0
